Country,Population,Country_Region
SUB-SAHARAN AFRICA,1094365605,SUB-SAHARAN AFRICA
Eastern Africa,445405578,Eastern Africa
Burundi,11890781,Burundi
Comoros,869595,Comoros
Djibouti,988002,Djibouti
Eritrea,3546427,Eritrea
Ethiopia,114963583,Ethiopia
Kenya,53771300,Kenya
Madagascar,27691019,Madagascar
Malawi,19129955,Malawi
Mauritius,1271767,Mauritius
Mayotte,272813,Mayotte
Mozambique,31255435,Mozambique
Réunion,895308,Réunion
Rwanda,12952209,Rwanda
Seychelles,98340,Seychelles
Somalia,15893219,Somalia
South Sudan,11193729,South Sudan
Uganda,45741000,Uganda
United Republic of Tanzania,59734213,United Republic of Tanzania
Zambia,18383956,Zambia
Zimbabwe,14862927,Zimbabwe
Middle Africa,179595125,Middle Africa
Angola,32866268,Angola
Cameroon,26545864,Cameroon
Central African Republic,4829764,Central African Republic
Chad,16425859,Chad
Congo,5518092,Congo
Democratic Republic of the Congo,89561404,Democratic Republic of the Congo
Equatorial Guinea,1402985,Equatorial Guinea
Gabon,2225728,Gabon
Sao Tome and Principe,219161,Sao Tome and Principe
Southern Africa,67503647,Southern Africa
Botswana,2351625,Botswana
Eswatini,1160164,Eswatini
Lesotho,2142252,Lesotho
Namibia,2540916,Namibia
South Africa,59308690,South Africa
Western Africa,401861255,Western Africa
Benin,12123198,Benin
Burkina Faso,20903278,Burkina Faso
Cabo Verde,555988,Cabo Verde
Côte d'Ivoire,26378275,Côte d'Ivoire
Gambia,2416664,Gambia
Ghana,31072945,Ghana
Guinea,13132792,Guinea
Guinea-Bissau,1967998,Guinea-Bissau
Liberia,5057677,Liberia
Mali,20250834,Mali
Mauritania,4649660,Mauritania
Niger,24206636,Niger
Nigeria,206139587,Nigeria
Saint Helena,6071,Saint Helena
Senegal,16743930,Senegal
Sierra Leone,7976985,Sierra Leone
Togo,8278737,Togo
NORTHERN AFRICA AND WESTERN ASIA,525869282,NORTHERN AFRICA AND WESTERN ASIA
Northern Africa,246232508,Northern Africa
Algeria,43851043,Algeria
Egypt,102334403,Egypt
Libya,6871287,Libya
Morocco,36910558,Morocco
Sudan,43849269,Sudan
Tunisia,11818618,Tunisia
Western Sahara,597330,Western Sahara
Western Asia,279636774,Western Asia
Armenia,2963234,Armenia
Azerbaijan,10139175,Azerbaijan
Bahrain,1701583,Bahrain
Cyprus,1207361,Cyprus
Georgia,3989175,Georgia
Iraq,40222503,Iraq
Israel,8655541,Israel
Jordan,10203140,Jordan
Kuwait,4270563,Kuwait
Lebanon,6825442,Lebanon
Oman,5106622,Oman
Qatar,2881060,Qatar
Saudi Arabia,34813867,Saudi Arabia
State of Palestine,5101416,State of Palestine
Syrian Arab Republic,17500657,Syrian Arab Republic
Turkey,84339067,Turkey
United Arab Emirates,9890400,United Arab Emirates
Yemen,29825968,Yemen
CENTRAL AND SOUTHERN ASIA,2014708531,CENTRAL AND SOUTHERN ASIA
Central Asia,74338926,Central Asia
Kazakhstan,18776707,Kazakhstan
Kyrgyzstan,6524191,Kyrgyzstan
Tajikistan,9537642,Tajikistan
Turkmenistan,6031187,Turkmenistan
Uzbekistan,33469199,Uzbekistan
Southern Asia,1940369605,Southern Asia
Afghanistan,38928341,Afghanistan
Bangladesh,164689383,Bangladesh
Bhutan,771612,Bhutan
India,1380004385,India
Iran (Islamic Republic of),83992953,Iran
Maldives,540542,Maldives
Nepal,29136808,Nepal
Pakistan,220892331,Pakistan
Sri Lanka,21413250,Sri Lanka
EASTERN AND SOUTH-EASTERN ASIA,2346709481,EASTERN AND SOUTH-EASTERN ASIA
Eastern Asia,1678089627,Eastern Asia
China,1439323774,China
"China, Hong Kong SAR",7496988,"China, Hong Kong SAR"
"China, Macao SAR",649342,"China, Macao SAR"
"China, Taiwan Province of China",23816775,"China, Taiwan Province of China"
Dem. People's Republic of Korea,25778815,Dem. People's Republic of Korea
Japan,126476458,Japan
Mongolia,3278292,Mongolia
Republic of Korea,51269183,"Korea, South"
South-Eastern Asia,668619854,South-Eastern Asia
Brunei Darussalam,437483,Brunei Darussalam
Cambodia,16718971,Cambodia
Indonesia,273523621,Indonesia
Lao People's Democratic Republic,7275556,Lao People's Democratic Republic
Malaysia,32365998,Malaysia
Myanmar,54409794,Myanmar
Philippines,109581085,Philippines
Singapore,5850343,Singapore
Thailand,69799978,Thailand
Timor-Leste,1318442,Timor-Leste
Viet Nam,97338583,Viet Nam
LATIN AMERICA AND THE CARIBBEAN,653962332,LATIN AMERICA AND THE CARIBBEAN
Caribbean,43532374,Caribbean
Anguilla,15002,Anguilla
Antigua and Barbuda,97928,Antigua and Barbuda
Aruba,106766,Aruba
Bahamas,393248,Bahamas
Barbados,287371,Barbados
"Bonaire, Sint Eustatius and Saba",26221,"Bonaire, Sint Eustatius and Saba"
British Virgin Islands,30237,British Virgin Islands
Cayman Islands,65720,Cayman Islands
Cuba,11326616,Cuba
Curaçao,164100,Curaçao
Dominica,71991,Dominica
Dominican Republic,10847904,Dominican Republic
Grenada,112519,Grenada
Guadeloupe,400127,Guadeloupe
Haiti,11402533,Haiti
Jamaica,2961161,Jamaica
Martinique,375265,Martinique
Montserrat,4999,Montserrat
Puerto Rico,2860840,Puerto Rico
Saint Barthélemy,9885,Saint Barthélemy
Saint Kitts and Nevis,53192,Saint Kitts and Nevis
Saint Lucia,183629,Saint Lucia
Saint Martin (French part),38659,Saint Martin (French part)
Saint Vincent and the Grenadines,110947,Saint Vincent and the Grenadines
Sint Maarten (Dutch part),42882,Sint Maarten (Dutch part)
Trinidad and Tobago,1399491,Trinidad and Tobago
Turks and Caicos Islands,38718,Turks and Caicos Islands
United States Virgin Islands,104423,United States Virgin Islands
Central America,179670186,Central America
Belize,397621,Belize
Costa Rica,5094114,Costa Rica
El Salvador,6486201,El Salvador
Guatemala,17915567,Guatemala
Honduras,9904608,Honduras
Mexico,128932753,Mexico
Nicaragua,6624554,Nicaragua
Panama,4314768,Panama
South America,430759772,South America
Argentina,45195777,Argentina
Bolivia (Plurinational State of),11673029,Bolivia (Plurinational State of)
Brazil,212559409,Brazil
Chile,19116209,Chile
Colombia,50882884,Colombia
Ecuador,17643060,Ecuador
Falkland Islands (Malvinas),3483,Falkland Islands (Malvinas)
French Guiana,298682,French Guiana
Guyana,786559,Guyana
Paraguay,7132530,Paraguay
Peru,32971846,Peru
Suriname,586634,Suriname
Uruguay,3473727,Uruguay
Venezuela (Bolivarian Republic of),28435943,Venezuela (Bolivarian Republic of)
AUSTRALIA/NEW ZEALAND,30322114,AUSTRALIA/NEW ZEALAND
Australia,25499881,Australia
New Zealand,4822233,New Zealand
OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),12355695,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)
Melanesia,11122990,Melanesia
Fiji,896444,Fiji
New Caledonia,285491,New Caledonia
Papua New Guinea,8947027,Papua New Guinea
Solomon Islands,686878,Solomon Islands
Vanuatu,307150,Vanuatu
Micronesia,548927,Micronesia
Guam,168783,Guam
Kiribati,119446,Kiribati
Marshall Islands,59194,Marshall Islands
Micronesia (Fed. States of),115021,Micronesia (Fed. States of)
Nauru,10834,Nauru
Northern Mariana Islands,57557,Northern Mariana Islands
Palau,18092,Palau
Polynesia,683778,Polynesia
American Samoa,55197,American Samoa
Cook Islands,17564,Cook Islands
French Polynesia,280904,French Polynesia
Niue,1618,Niue
Samoa,198410,Samoa
Tokelau,1350,Tokelau
Tonga,105697,Tonga
Tuvalu,11792,Tuvalu
Wallis and Futuna Islands,11246,Wallis and Futuna Islands
EUROPE AND NORTHERN AMERICA,1116505689,EUROPE AND NORTHERN AMERICA
EUROPE,747636045,EUROPE
Eastern Europe,293013210,Eastern Europe
Belarus,9449321,Belarus
